pix,source,image1,x,y,size,answer,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,date,frameRate,expName,session,participant,
logos/2.jpg,properties2.xlsx,frogs/ab25.jpg,0,0,400,l,0,0,0,1,0,0,0,24,space,16.0135441182,['l'],0,[0.33382712931052083],2018_Jul_09_1452,60.0767958332,go-nogo,001,41,
logos/2.jpg,properties2.xlsx,logos/2.jpg,0,0,400,a,0,0,0,1,0,1,1,86,,,['a'],0,[0.050500878649472725],2018_Jul_09_1452,60.0767958332,go-nogo,001,41,
logos/2.jpg,properties2.xlsx,frogs/ab55.jpg,0,0,400,l,0,0,0,1,0,2,2,54,,,['l'],0,[0.0005637693702738034],2018_Jul_09_1452,60.0767958332,go-nogo,001,41,
logos/2.jpg,properties2.xlsx,frogs/ab16.jpg,0,0,400,l,0,0,0,1,0,3,3,15,,,['a'],0,[0.0005700271522073308],2018_Jul_09_1452,60.0767958332,go-nogo,001,41,
logos/2.jpg,properties2.xlsx,frogs/ab72.jpg,0,0,400,l,0,0,0,1,0,4,4,70,,,['l'],0,[0.41698908471880713],2018_Jul_09_1452,60.0767958332,go-nogo,001,41,
logos/2.jpg,properties2.xlsx,frogs/ab38.jpg,0,0,400,l,0,0,0,1,0,5,5,37,,,['l'],0,[0.36691430421160476],2018_Jul_09_1452,60.0767958332,go-nogo,001,41,
logos/2.jpg,properties2.xlsx,logos/2.jpg,0,0,400,a,0,0,0,1,0,6,6,89,,,['a'],0,[0.3672260555886169],2018_Jul_09_1452,60.0767958332,go-nogo,001,41,
logos/2.jpg,properties2.xlsx,frogs/ab63.jpg,0,0,400,l,0,0,0,1,0,7,7,61,,,['a'],0,[0.4836731594023149],2018_Jul_09_1452,60.0767958332,go-nogo,001,41,
logos/2.jpg,properties2.xlsx,frogs/ab79.jpg,0,0,400,l,0,0,0,1,0,8,8,77,,,['l'],0,[0.10039247677923413],2018_Jul_09_1452,60.0767958332,go-nogo,001,41,
logos/2.jpg,properties2.xlsx,logos/2.jpg,0,0,400,a,0,0,0,1,0,9,9,87,,,['a'],0,[0.0005757160470238887],2018_Jul_09_1452,60.0767958332,go-nogo,001,41,
logos/2.jpg,properties2.xlsx,frogs/ab24.jpg,0,0,400,l,0,0,0,1,0,10,10,23,,,['l'],0,[0.08437482755471137],2018_Jul_09_1452,60.0767958332,go-nogo,001,41,
logos/2.jpg,properties2.xlsx,frogs/ab43.jpg,0,0,400,l,0,0,0,1,0,11,11,42,,,['l'],0,[0.03386712223255017],2018_Jul_09_1452,60.0767958332,go-nogo,001,41,
logos/2.jpg,properties2.xlsx,frogs/ab44.jpg,0,0,400,l,0,0,0,1,0,12,12,43,,,['l'],0,[0.916768640086957],2018_Jul_09_1452,60.0767958332,go-nogo,001,41,
logos/2.jpg,properties2.xlsx,frogs/ab48.jpg,0,0,400,l,0,0,0,1,0,13,13,47,,,['l'],0,[0.15043426170268503],2018_Jul_09_1452,60.0767958332,go-nogo,001,41,
logos/2.jpg,properties2.xlsx,frogs/ab35.jpg,0,0,400,l,0,0,0,1,0,14,14,34,,,['l'],0,[0.0671198439431464],2018_Jul_09_1452,60.0767958332,go-nogo,001,41,
logos/2.jpg,properties2.xlsx,frogs/ab27.jpg,0,0,400,l,0,0,0,1,0,15,15,26,,,['l'],0,[0.900075150286284],2018_Jul_09_1452,60.0767958332,go-nogo,001,41,
logos/2.jpg,properties2.xlsx,frogs/ab10.jpg,0,0,400,l,0,0,0,1,0,16,16,9,,,['l'],0,[0.10064108143524209],2018_Jul_09_1452,60.0767958332,go-nogo,001,41,
logos/2.jpg,properties2.xlsx,logos/2.jpg,0,0,400,a,0,0,0,1,0,17,17,85,,,['a'],0,[0.0005734404894610634],2018_Jul_09_1452,60.0767958332,go-nogo,001,41,
logos/2.jpg,properties2.xlsx,frogs/ab7.jpg,0,0,400,l,0,0,0,1,0,18,18,6,,,['l'],0,[0.000573440487642074],2018_Jul_09_1452,60.0767958332,go-nogo,001,41,
logos/2.jpg,properties2.xlsx,frogs/ab64.jpg,0,0,400,l,0,0,0,1,0,19,19,62,,,['l'],0,[0.08383381376188481],2018_Jul_09_1452,60.0767958332,go-nogo,001,41,
logos/2.jpg,properties2.xlsx,frogs/ab23.jpg,0,0,400,l,0,0,0,1,0,20,20,22,,,['l'],0,[0.017159979086500243],2018_Jul_09_1452,60.0767958332,go-nogo,001,41,
