YLeftPos,time_presentation,XLeftPos,XRightPos,rightimg,YRightPos,leftimg,n,key_resp_2.keys_raw,key_resp_2.rt_mean,key_resp_2.rt_raw,key_resp_2.rt_std,order
0,0.5,-300,300,frogs/ab79.jpg,0,frogs/ab39.jpg,1.0,'left',0.817993879318,0.8179938793182373,0.0,16.0
0,0.5,-300,300,frogs/ab80.jpg,0,frogs/ab40.jpg,1.0,'right',1.00199794769,1.001997947692871,0.0,24.0
0,0.5,-300,300,1.jpg,0,3.jpg,1.0,'right',1.03543806076,1.035438060760498,0.0,13.0
0,0.5,-300,300,2.jpg,0,4.jpg,1.0,'right',1.33471608162,1.3347160816192627,0.0,1.0

extraInfo
date,2018_Jul_09_1453
frameRate,60.0268484038
expName,ExpLonely
participant,43
