YLeftPos,time_presentation,XLeftPos,XRightPos,rightimg,YRightPos,leftimg,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_2.rt,key_resp_5.keys,key_resp_5.rt,date,frameRate,expName,participant,
,,,,,,,,,,,space,46.0862810612,,,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,frogs/ab47.jpg,0,frogs/ab7.jpg,0,0,0,6,,,right,0.602531909943,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,4.jpg,0,2.jpg,0,1,1,21,,,left,0.402275800705,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,frogs/ab65.jpg,0,frogs/ab25.jpg,0,2,2,26,,,left,0.752043008804,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,frogs/ab43.jpg,0,frogs/ab3.jpg,0,3,3,2,,,right,0.434462785721,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,frogs/ab71.jpg,0,frogs/ab31.jpg,0,4,4,32,,,left,0.43502497673,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,frogs/ab64.jpg,0,frogs/ab24.jpg,0,5,5,25,,,right,0.750564098358,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,frogs/ab74.jpg,0,frogs/ab34.jpg,0,6,6,35,,,left,0.452329874039,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,frogs/ab77.jpg,0,frogs/ab37.jpg,0,7,7,38,,,left,0.452459096909,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,frogs/ab70.jpg,0,frogs/ab30.jpg,0,8,8,31,,,left,0.635731220245,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,frogs/ab67.jpg,0,frogs/ab27.jpg,0,9,9,28,,,right,0.502518892288,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,frogs/ab53.jpg,0,frogs/ab13.jpg,0,10,10,12,,,left,0.36878490448,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,frogs/ab62.jpg,0,frogs/ab22.jpg,0,11,11,23,,,left,0.483700990677,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,frogs/ab63.jpg,0,frogs/ab23.jpg,0,12,12,24,,,right,0.418843984604,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,frogs/ab52.jpg,0,frogs/ab12.jpg,0,13,13,11,,,left,0.402825832367,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,frogs/ab44.jpg,0,frogs/ab4.jpg,0,14,14,3,,,None,,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,frogs/ab80.jpg,0,frogs/ab40.jpg,0,15,15,41,,,right,0.418292045593,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,frogs/ab49.jpg,0,frogs/ab9.jpg,0,16,16,8,,,left,0.469117879868,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,frogs/ab68.jpg,0,frogs/ab28.jpg,0,17,17,29,,,left,0.451753139496,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,frogs/ab79.jpg,0,frogs/ab39.jpg,0,18,18,40,,,left,0.533674001694,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,frogs/ab50.jpg,0,frogs/ab10.jpg,0,19,19,9,,,right,0.469153881073,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,frogs/ab55.jpg,0,frogs/ab15.jpg,0,20,20,14,,,right,0.551538944244,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,frogs/ab59.jpg,0,frogs/ab19.jpg,0,21,21,18,,,left,0.452418088913,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,frogs/ab51.jpg,0,frogs/ab11.jpg,0,22,22,10,,,left,0.518798112869,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,frogs/ab46.jpg,0,frogs/ab6.jpg,0,23,23,5,,,right,0.435945987701,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,frogs/ab66.jpg,0,frogs/ab26.jpg,0,24,24,27,,,left,0.619048118591,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,3.jpg,0,1.jpg,0,25,25,20,,,left,0.585370063782,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,frogs/ab41.jpg,0,frogs/ab1.jpg,0,26,26,0,,,right,0.518645048141,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,frogs/ab60.jpg,0,frogs/ab20.jpg,0,27,27,19,,,left,0.43430185318,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,2.jpg,0,4.jpg,0,28,28,43,,,left,0.51895904541,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,frogs/ab54.jpg,0,frogs/ab14.jpg,0,29,29,13,,,left,0.603163957596,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,frogs/ab76.jpg,0,frogs/ab36.jpg,0,30,30,37,,,right,0.268968820572,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,frogs/ab75.jpg,0,frogs/ab35.jpg,0,31,31,36,,,left,0.40166592598,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,frogs/ab58.jpg,0,frogs/ab18.jpg,0,32,32,17,,,right,0.435486793518,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,frogs/ab69.jpg,0,frogs/ab29.jpg,0,33,33,30,,,left,0.518942117691,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,frogs/ab57.jpg,0,frogs/ab17.jpg,0,34,34,16,,,left,0.617408037186,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,frogs/ab42.jpg,0,frogs/ab2.jpg,0,35,35,1,,,left,0.617594003677,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,frogs/ab48.jpg,0,frogs/ab8.jpg,0,36,36,7,,,None,,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,frogs/ab61.jpg,0,frogs/ab21.jpg,0,37,37,22,,,right,0.401626825333,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,frogs/ab73.jpg,0,frogs/ab33.jpg,0,38,38,34,,,left,0.385229110718,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,1.jpg,0,3.jpg,0,39,39,42,,,left,0.502187013626,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,frogs/ab72.jpg,0,frogs/ab32.jpg,0,40,40,33,,,right,0.718545913696,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,frogs/ab45.jpg,0,frogs/ab5.jpg,0,41,41,4,,,left,0.485214948654,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,frogs/ab78.jpg,0,frogs/ab38.jpg,0,42,42,39,,,None,,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
0,0.5,-300,300,frogs/ab56.jpg,0,frogs/ab16.jpg,0,43,43,15,,,left,0.333281993866,,,2018_Jul_09_1234,59.94123498,ExpLonely,24,
,,,,,,,,,,,,,,,escape,2.33524703979,2018_Jul_09_1234,59.94123498,ExpLonely,24,
