YLeftPos,time_presentation,XLeftPos,XRightPos,rightimg,YRightPos,leftimg,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_2.rt,key_resp_5.keys,key_resp_5.rt,date,frameRate,expName,participant,
,,,,,,,,,,,space,15.7991719246,,,,,2018_Jul_09_1153,59.9926766752,ExpLonely,14,
0,0.5,-300,300,frogs/ab54.jpg,0,frogs/ab14.jpg,0,0,0,13,,,None,,,,2018_Jul_09_1153,59.9926766752,ExpLonely,14,
0,0.5,-300,300,4.jpg,0,2.jpg,0,1,1,21,,,None,,,,2018_Jul_09_1153,59.9926766752,ExpLonely,14,
0,0.5,-300,300,frogs/ab58.jpg,0,frogs/ab18.jpg,0,2,2,17,,,None,,,,2018_Jul_09_1153,59.9926766752,ExpLonely,14,
0,0.5,-300,300,frogs/ab51.jpg,0,frogs/ab11.jpg,0,3,3,10,,,right,2.05239105225,,,2018_Jul_09_1153,59.9926766752,ExpLonely,14,
0,0.5,-300,300,frogs/ab46.jpg,0,frogs/ab6.jpg,0,4,4,5,,,None,,,,2018_Jul_09_1153,59.9926766752,ExpLonely,14,
0,0.5,-300,300,frogs/ab78.jpg,0,frogs/ab38.jpg,0,5,5,39,,,None,,,,2018_Jul_09_1153,59.9926766752,ExpLonely,14,
0,0.5,-300,300,frogs/ab71.jpg,0,frogs/ab31.jpg,0,6,6,32,,,None,,,,2018_Jul_09_1153,59.9926766752,ExpLonely,14,
0,0.5,-300,300,frogs/ab41.jpg,0,frogs/ab1.jpg,0,7,7,0,,,left,0.435791015625,,,2018_Jul_09_1153,59.9926766752,ExpLonely,14,
0,0.5,-300,300,frogs/ab47.jpg,0,frogs/ab7.jpg,0,8,8,6,,,None,,,,2018_Jul_09_1153,59.9926766752,ExpLonely,14,
0,0.5,-300,300,frogs/ab66.jpg,0,frogs/ab26.jpg,0,9,9,27,,,None,,,,2018_Jul_09_1153,59.9926766752,ExpLonely,14,
0,0.5,-300,300,frogs/ab62.jpg,0,frogs/ab22.jpg,0,10,10,23,,,None,,,,2018_Jul_09_1153,59.9926766752,ExpLonely,14,
0,0.5,-300,300,1.jpg,0,3.jpg,0,11,11,42,,,None,,,,2018_Jul_09_1153,59.9926766752,ExpLonely,14,
