10.7232 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1135c4410>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.7232 	EXP 	window1: recordFrameIntervals = False
10.8895 	EXP 	window1: recordFrameIntervals = True
11.0731 	EXP 	window1: recordFrameIntervals = False
11.1814 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
11.1836 	EXP 	Created Leftimg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Leftimg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  400.]), texRes=128, units='pix', win=Window(...))
11.1849 	EXP 	Created Rightimg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Rightimg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  400.]), texRes=128, units='pix', win=Window(...))
11.1979 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'to proceed press the space bar.', units=u'norm', win=Window(...), wrapWidth=1)
11.2144 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
11.2211 	EXP 	window1: blendMode = 'avg'
11.2393 	EXP 	text_2: autoDraw = True
11.2443 	EXP 	window1: blendMode = 'avg'
11.2573 	EXP 	window1: blendMode = 'avg'
11.2740 	EXP 	window1: blendMode = 'avg'
11.2904 	EXP 	window1: blendMode = 'avg'
11.3073 	EXP 	window1: blendMode = 'avg'
11.3234 	EXP 	window1: blendMode = 'avg'
11.3409 	EXP 	window1: blendMode = 'avg'
11.3582 	EXP 	window1: blendMode = 'avg'
11.3729 	EXP 	window1: blendMode = 'avg'
11.3903 	EXP 	window1: blendMode = 'avg'
11.4077 	EXP 	window1: blendMode = 'avg'
11.4242 	EXP 	window1: blendMode = 'avg'
11.4408 	EXP 	window1: blendMode = 'avg'
11.4574 	EXP 	window1: blendMode = 'avg'
11.4740 	EXP 	window1: blendMode = 'avg'
11.4906 	EXP 	window1: blendMode = 'avg'
11.5076 	EXP 	window1: blendMode = 'avg'
11.5247 	EXP 	window1: blendMode = 'avg'
11.5413 	EXP 	window1: blendMode = 'avg'
11.5580 	EXP 	window1: blendMode = 'avg'
11.5744 	EXP 	window1: blendMode = 'avg'
11.5908 	EXP 	window1: blendMode = 'avg'
11.6067 	EXP 	window1: blendMode = 'avg'
11.6241 	EXP 	window1: blendMode = 'avg'
11.6410 	EXP 	window1: blendMode = 'avg'
11.6574 	EXP 	window1: blendMode = 'avg'
11.6740 	EXP 	window1: blendMode = 'avg'
11.6903 	EXP 	window1: blendMode = 'avg'
11.7071 	EXP 	window1: blendMode = 'avg'
11.7246 	EXP 	window1: blendMode = 'avg'
11.7409 	EXP 	window1: blendMode = 'avg'
11.7582 	EXP 	window1: blendMode = 'avg'
11.7737 	EXP 	window1: blendMode = 'avg'
11.7909 	EXP 	window1: blendMode = 'avg'
