YLeftPos,time_presentation,XLeftPos,XRightPos,rightimg,YRightPos,leftimg,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_2.rt,key_resp_5.keys,key_resp_5.rt,date,frameRate,expName,participant,
,,,,,,,,,,,space,0.353716850281,,,,,2018_Jul_09_1434,59.7535380819,ExpLonely,45,
0,0.5,-300,300,frogs/ab61.jpg,0,frogs/ab21.jpg,0,0,0,22,,,left,0.21856212616,,,2018_Jul_09_1434,59.7535380819,ExpLonely,45,
0,0.5,-300,300,frogs/ab45.jpg,0,frogs/ab5.jpg,0,1,1,4,,,right,0.553417921066,,,2018_Jul_09_1434,59.7535380819,ExpLonely,45,
0,0.5,-300,300,frogs/ab58.jpg,0,frogs/ab18.jpg,0,2,2,17,,,right,0.734518051147,,,2018_Jul_09_1434,59.7535380819,ExpLonely,45,
0,0.5,-300,300,frogs/ab65.jpg,0,frogs/ab25.jpg,0,3,3,26,,,left,0.519001960754,,,2018_Jul_09_1434,59.7535380819,ExpLonely,45,
0,0.5,-300,300,frogs/ab50.jpg,0,frogs/ab10.jpg,0,4,4,9,,,right,0.517774820328,,,2018_Jul_09_1434,59.7535380819,ExpLonely,45,
0,0.5,-300,300,frogs/ab60.jpg,0,frogs/ab20.jpg,0,5,5,19,,,right,0.519155025482,,,2018_Jul_09_1434,59.7535380819,ExpLonely,45,
0,0.5,-300,300,frogs/ab43.jpg,0,frogs/ab3.jpg,0,6,6,2,,,left,0.450366973877,,,2018_Jul_09_1434,59.7535380819,ExpLonely,45,
0,0.5,-300,300,frogs/ab72.jpg,0,frogs/ab32.jpg,0,7,7,33,,,right,0.468415021896,,,2018_Jul_09_1434,59.7535380819,ExpLonely,45,
0,0.5,-300,300,frogs/ab66.jpg,0,frogs/ab26.jpg,0,8,8,27,,,left,0.652738809586,,,2018_Jul_09_1434,59.7535380819,ExpLonely,45,
0,0.5,-300,300,frogs/ab71.jpg,0,frogs/ab31.jpg,0,9,9,32,,,right,0.501659154892,,,2018_Jul_09_1434,59.7535380819,ExpLonely,45,
0,0.5,-300,300,frogs/ab80.jpg,0,frogs/ab40.jpg,0,10,10,41,,,left,0.622699022293,,,2018_Jul_09_1434,59.7535380819,ExpLonely,45,
0,0.5,-300,300,frogs/ab44.jpg,0,frogs/ab4.jpg,0,11,11,3,,,right,0.751902103424,,,2018_Jul_09_1434,59.7535380819,ExpLonely,45,
0,0.5,-300,300,frogs/ab68.jpg,0,frogs/ab28.jpg,0,12,12,29,,,right,0.685636997223,,,2018_Jul_09_1434,59.7535380819,ExpLonely,45,
0,0.5,-300,300,frogs/ab59.jpg,0,frogs/ab19.jpg,0,13,13,18,,,right,0.468863010406,,,2018_Jul_09_1434,59.7535380819,ExpLonely,45,
0,0.5,-300,300,frogs/ab53.jpg,0,frogs/ab13.jpg,0,14,14,12,,,left,0.518369913101,,,2018_Jul_09_1434,59.7535380819,ExpLonely,45,
