YLeftPos,time_presentation,XLeftPos,XRightPos,rightimg,YRightPos,leftimg,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_2.rt,key_resp_5.keys,key_resp_5.rt,date,frameRate,expName,participant,
,,,,,,,,,,,space,10.4880809784,,,,,2018_Jul_09_1207,60.0842895412,ExpLonely,16,
0,0.5,-300,300,frogs/ab65.jpg,0,frogs/ab25.jpg,0,0,0,26,,,left,0.701120138168,,,2018_Jul_09_1207,60.0842895412,ExpLonely,16,
0,0.5,-300,300,frogs/ab60.jpg,0,frogs/ab20.jpg,0,1,1,19,,,right,1.36880898476,,,2018_Jul_09_1207,60.0842895412,ExpLonely,16,
0,0.5,-300,300,frogs/ab47.jpg,0,frogs/ab7.jpg,0,2,2,6,,,right,0.0192270278931,,,2018_Jul_09_1207,60.0842895412,ExpLonely,16,
0,0.5,-300,300,frogs/ab66.jpg,0,frogs/ab26.jpg,0,3,3,27,,,left,0.968780994415,,,2018_Jul_09_1207,60.0842895412,ExpLonely,16,
0,0.5,-300,300,frogs/ab78.jpg,0,frogs/ab38.jpg,0,4,4,39,,,right,0.969270944595,,,2018_Jul_09_1207,60.0842895412,ExpLonely,16,
0,0.5,-300,300,3.jpg,0,1.jpg,0,5,5,20,,,left,0.93515086174,,,2018_Jul_09_1207,60.0842895412,ExpLonely,16,
0,0.5,-300,300,frogs/ab57.jpg,0,frogs/ab17.jpg,0,6,6,16,,,right,0.884860992432,,,2018_Jul_09_1207,60.0842895412,ExpLonely,16,
0,0.5,-300,300,1.jpg,0,3.jpg,0,7,7,42,,,right,0.902465820312,,,2018_Jul_09_1207,60.0842895412,ExpLonely,16,
0,0.5,-300,300,frogs/ab56.jpg,0,frogs/ab16.jpg,0,8,8,15,,,left,0.68502497673,,,2018_Jul_09_1207,60.0842895412,ExpLonely,16,
0,0.5,-300,300,frogs/ab53.jpg,0,frogs/ab13.jpg,0,9,9,12,,,left,0.918576955795,,,2018_Jul_09_1207,60.0842895412,ExpLonely,16,
0,0.5,-300,300,frogs/ab43.jpg,0,frogs/ab3.jpg,0,10,10,2,,,right,1.18543505669,,,2018_Jul_09_1207,60.0842895412,ExpLonely,16,
0,0.5,-300,300,4.jpg,0,2.jpg,0,11,11,21,,,left,0.835444927216,,,2018_Jul_09_1207,60.0842895412,ExpLonely,16,
0,0.5,-300,300,frogs/ab52.jpg,0,frogs/ab12.jpg,0,12,12,11,,,right,0.902117013931,,,2018_Jul_09_1207,60.0842895412,ExpLonely,16,
0,0.5,-300,300,frogs/ab73.jpg,0,frogs/ab33.jpg,0,13,13,34,,,left,0.91919708252,,,2018_Jul_09_1207,60.0842895412,ExpLonely,16,
0,0.5,-300,300,frogs/ab48.jpg,0,frogs/ab8.jpg,0,14,14,7,,,right,0.916896104813,,,2018_Jul_09_1207,60.0842895412,ExpLonely,16,
0,0.5,-300,300,frogs/ab79.jpg,0,frogs/ab39.jpg,0,15,15,40,,,left,0.801687955856,,,2018_Jul_09_1207,60.0842895412,ExpLonely,16,
0,0.5,-300,300,frogs/ab62.jpg,0,frogs/ab22.jpg,0,16,16,23,,,right,0.635251045227,,,2018_Jul_09_1207,60.0842895412,ExpLonely,16,
0,0.5,-300,300,frogs/ab51.jpg,0,frogs/ab11.jpg,0,17,17,10,,,right,0.818115949631,,,2018_Jul_09_1207,60.0842895412,ExpLonely,16,
0,0.5,-300,300,frogs/ab70.jpg,0,frogs/ab30.jpg,0,18,18,31,,,right,0.834688901901,,,2018_Jul_09_1207,60.0842895412,ExpLonely,16,
0,0.5,-300,300,frogs/ab49.jpg,0,frogs/ab9.jpg,0,19,19,8,,,left,0.885332107544,,,2018_Jul_09_1207,60.0842895412,ExpLonely,16,
0,0.5,-300,300,frogs/ab74.jpg,0,frogs/ab34.jpg,0,20,20,35,,,right,0.918574810028,,,2018_Jul_09_1207,60.0842895412,ExpLonely,16,
0,0.5,-300,300,frogs/ab44.jpg,0,frogs/ab4.jpg,0,21,21,3,,,left,0.784706830978,,,2018_Jul_09_1207,60.0842895412,ExpLonely,16,
0,0.5,-300,300,frogs/ab61.jpg,0,frogs/ab21.jpg,0,22,22,22,,,left,0.902074813843,,,2018_Jul_09_1207,60.0842895412,ExpLonely,16,
0,0.5,-300,300,frogs/ab68.jpg,0,frogs/ab28.jpg,0,23,23,29,,,right,0.967406988144,,,2018_Jul_09_1207,60.0842895412,ExpLonely,16,
0,0.5,-300,300,frogs/ab50.jpg,0,frogs/ab10.jpg,0,24,24,9,,,left,0.768221139908,,,2018_Jul_09_1207,60.0842895412,ExpLonely,16,
0,0.5,-300,300,frogs/ab59.jpg,0,frogs/ab19.jpg,0,25,25,18,,,left,0.985952854156,,,2018_Jul_09_1207,60.0842895412,ExpLonely,16,
0,0.5,-300,300,frogs/ab75.jpg,0,frogs/ab35.jpg,0,26,26,36,,,left,0.934475898743,,,2018_Jul_09_1207,60.0842895412,ExpLonely,16,
0,0.5,-300,300,frogs/ab55.jpg,0,frogs/ab15.jpg,0,27,27,14,,,left,0.867938041687,,,2018_Jul_09_1207,60.0842895412,ExpLonely,16,
0,0.5,-300,300,frogs/ab67.jpg,0,frogs/ab27.jpg,0,28,28,28,,,right,0.919453144073,,,2018_Jul_09_1207,60.0842895412,ExpLonely,16,
