8.5555 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1146d83d0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.5556 	EXP 	window1: recordFrameIntervals = False
8.7208 	EXP 	window1: recordFrameIntervals = True
8.9044 	EXP 	window1: recordFrameIntervals = False
8.9910 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
8.9927 	EXP 	Created Leftimg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Leftimg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  400.]), texRes=128, units='pix', win=Window(...))
8.9940 	EXP 	Created Rightimg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Rightimg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  400.]), texRes=128, units='pix', win=Window(...))
9.0038 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'to proceed press the space bar.', units=u'norm', win=Window(...), wrapWidth=1)
9.0135 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
9.0183 	EXP 	window1: blendMode = 'avg'
9.0374 	EXP 	text_2: autoDraw = True
9.0414 	EXP 	window1: blendMode = 'avg'
9.0550 	EXP 	window1: blendMode = 'avg'
9.0714 	EXP 	window1: blendMode = 'avg'
9.0884 	EXP 	window1: blendMode = 'avg'
9.1058 	DATA 	Mouse: Left button down, pos=(768,694)
9.1063 	DATA 	Mouse:  Left button up, pos=(768,694)
9.1071 	EXP 	window1: blendMode = 'avg'
9.1215 	EXP 	window1: blendMode = 'avg'
9.1390 	EXP 	window1: blendMode = 'avg'
9.1554 	EXP 	window1: blendMode = 'avg'
9.1719 	EXP 	window1: blendMode = 'avg'
9.1886 	EXP 	window1: blendMode = 'avg'
9.2052 	EXP 	window1: blendMode = 'avg'
9.2214 	EXP 	window1: blendMode = 'avg'
9.2388 	EXP 	window1: blendMode = 'avg'
9.2552 	EXP 	window1: blendMode = 'avg'
9.2718 	EXP 	window1: blendMode = 'avg'
9.2882 	EXP 	window1: blendMode = 'avg'
9.3056 	EXP 	window1: blendMode = 'avg'
9.3221 	EXP 	window1: blendMode = 'avg'
9.3386 	EXP 	window1: blendMode = 'avg'
9.3549 	EXP 	window1: blendMode = 'avg'
9.3725 	EXP 	window1: blendMode = 'avg'
9.3887 	EXP 	window1: blendMode = 'avg'
9.4050 	EXP 	window1: blendMode = 'avg'
9.4214 	EXP 	window1: blendMode = 'avg'
9.4388 	EXP 	window1: blendMode = 'avg'
9.4553 	EXP 	window1: blendMode = 'avg'
9.4716 	EXP 	window1: blendMode = 'avg'
9.4880 	EXP 	window1: blendMode = 'avg'
9.5054 	EXP 	window1: blendMode = 'avg'
9.5220 	EXP 	window1: blendMode = 'avg'
9.5387 	EXP 	window1: blendMode = 'avg'
9.5552 	EXP 	window1: blendMode = 'avg'
9.5718 	EXP 	window1: blendMode = 'avg'
9.5881 	EXP 	window1: blendMode = 'avg'
9.6054 	EXP 	window1: blendMode = 'avg'
9.6261 	EXP 	window1: blendMode = 'avg'
9.6433 	EXP 	window1: blendMode = 'avg'
9.6595 	EXP 	window1: blendMode = 'avg'
9.6765 	EXP 	window1: blendMode = 'avg'
9.6934 	EXP 	window1: blendMode = 'avg'
9.7093 	EXP 	window1: blendMode = 'avg'
9.7265 	EXP 	window1: blendMode = 'avg'
9.7435 	EXP 	window1: blendMode = 'avg'
9.7594 	EXP 	window1: blendMode = 'avg'
9.7766 	EXP 	window1: blendMode = 'avg'
9.7888 	EXP 	window1: blendMode = 'avg'
9.8100 	EXP 	window1: blendMode = 'avg'
9.8260 	EXP 	window1: blendMode = 'avg'
9.8430 	EXP 	window1: blendMode = 'avg'
9.8600 	EXP 	window1: blendMode = 'avg'
9.8759 	EXP 	window1: blendMode = 'avg'
9.8932 	EXP 	window1: blendMode = 'avg'
9.9103 	EXP 	window1: blendMode = 'avg'
9.9262 	EXP 	window1: blendMode = 'avg'
9.9439 	EXP 	window1: blendMode = 'avg'
9.9557 	EXP 	window1: blendMode = 'avg'
9.9767 	EXP 	window1: blendMode = 'avg'
9.9928 	EXP 	window1: blendMode = 'avg'
10.0101 	EXP 	window1: blendMode = 'avg'
10.0261 	EXP 	window1: blendMode = 'avg'
10.0434 	EXP 	window1: blendMode = 'avg'
10.0595 	EXP 	window1: blendMode = 'avg'
10.0767 	EXP 	window1: blendMode = 'avg'
10.0926 	EXP 	window1: blendMode = 'avg'
10.1099 	EXP 	window1: blendMode = 'avg'
10.1267 	EXP 	window1: blendMode = 'avg'
10.1427 	EXP 	window1: blendMode = 'avg'
10.1597 	EXP 	window1: blendMode = 'avg'
10.1767 	EXP 	window1: blendMode = 'avg'
10.1926 	EXP 	window1: blendMode = 'avg'
10.2097 	EXP 	window1: blendMode = 'avg'
10.2267 	EXP 	window1: blendMode = 'avg'
10.2426 	EXP 	window1: blendMode = 'avg'
10.2597 	EXP 	window1: blendMode = 'avg'
10.2770 	EXP 	window1: blendMode = 'avg'
10.2929 	EXP 	window1: blendMode = 'avg'
10.3100 	EXP 	window1: blendMode = 'avg'
10.3261 	EXP 	window1: blendMode = 'avg'
10.3434 	EXP 	window1: blendMode = 'avg'
10.3594 	EXP 	window1: blendMode = 'avg'
10.3764 	EXP 	window1: blendMode = 'avg'
10.3935 	EXP 	window1: blendMode = 'avg'
10.4095 	EXP 	window1: blendMode = 'avg'
10.4273 	EXP 	window1: blendMode = 'avg'
10.4432 	EXP 	window1: blendMode = 'avg'
10.4600 	EXP 	window1: blendMode = 'avg'
10.4763 	EXP 	window1: blendMode = 'avg'
10.4934 	EXP 	window1: blendMode = 'avg'
10.5093 	EXP 	window1: blendMode = 'avg'
10.5265 	EXP 	window1: blendMode = 'avg'
10.5434 	EXP 	window1: blendMode = 'avg'
10.5593 	EXP 	window1: blendMode = 'avg'
10.5764 	EXP 	window1: blendMode = 'avg'
10.5933 	EXP 	window1: blendMode = 'avg'
10.6095 	EXP 	window1: blendMode = 'avg'
10.6265 	EXP 	window1: blendMode = 'avg'
10.6435 	EXP 	window1: blendMode = 'avg'
10.6594 	EXP 	window1: blendMode = 'avg'
10.6764 	EXP 	window1: blendMode = 'avg'
10.6936 	EXP 	window1: blendMode = 'avg'
10.7098 	EXP 	window1: blendMode = 'avg'
10.7222 	EXP 	window1: blendMode = 'avg'
10.7435 	EXP 	window1: blendMode = 'avg'
10.7594 	EXP 	window1: blendMode = 'avg'
10.7763 	EXP 	window1: blendMode = 'avg'
10.7934 	EXP 	window1: blendMode = 'avg'
10.8096 	EXP 	window1: blendMode = 'avg'
10.8267 	EXP 	window1: blendMode = 'avg'
10.8426 	EXP 	window1: blendMode = 'avg'
10.8599 	EXP 	window1: blendMode = 'avg'
10.8767 	EXP 	window1: blendMode = 'avg'
10.8927 	EXP 	window1: blendMode = 'avg'
10.9101 	EXP 	window1: blendMode = 'avg'
10.9263 	EXP 	window1: blendMode = 'avg'
10.9430 	EXP 	window1: blendMode = 'avg'
10.9599 	EXP 	window1: blendMode = 'avg'
10.9767 	EXP 	window1: blendMode = 'avg'
10.9928 	EXP 	window1: blendMode = 'avg'
11.0102 	EXP 	window1: blendMode = 'avg'
11.0261 	EXP 	window1: blendMode = 'avg'
11.0432 	EXP 	window1: blendMode = 'avg'
11.0600 	EXP 	window1: blendMode = 'avg'
11.0763 	EXP 	window1: blendMode = 'avg'
11.0935 	EXP 	window1: blendMode = 'avg'
11.1095 	EXP 	window1: blendMode = 'avg'
11.1265 	EXP 	window1: blendMode = 'avg'
11.1438 	EXP 	window1: blendMode = 'avg'
11.1598 	EXP 	window1: blendMode = 'avg'
11.1767 	EXP 	window1: blendMode = 'avg'
11.1890 	EXP 	window1: blendMode = 'avg'
11.2101 	EXP 	window1: blendMode = 'avg'
11.2262 	EXP 	window1: blendMode = 'avg'
11.2436 	EXP 	window1: blendMode = 'avg'
11.2595 	EXP 	window1: blendMode = 'avg'
11.2766 	EXP 	window1: blendMode = 'avg'
11.2924 	EXP 	window1: blendMode = 'avg'
11.3094 	EXP 	window1: blendMode = 'avg'
11.3265 	EXP 	window1: blendMode = 'avg'
11.3435 	EXP 	window1: blendMode = 'avg'
11.3594 	EXP 	window1: blendMode = 'avg'
11.3764 	EXP 	window1: blendMode = 'avg'
11.3936 	EXP 	window1: blendMode = 'avg'
11.4095 	EXP 	window1: blendMode = 'avg'
11.4264 	EXP 	window1: blendMode = 'avg'
11.4436 	EXP 	window1: blendMode = 'avg'
11.4597 	EXP 	window1: blendMode = 'avg'
11.4765 	EXP 	window1: blendMode = 'avg'
11.4925 	EXP 	window1: blendMode = 'avg'
11.5087 	EXP 	window1: blendMode = 'avg'
11.5269 	EXP 	window1: blendMode = 'avg'
11.5429 	EXP 	window1: blendMode = 'avg'
11.5600 	EXP 	window1: blendMode = 'avg'
11.5760 	EXP 	window1: blendMode = 'avg'
11.5930 	EXP 	window1: blendMode = 'avg'
11.6103 	EXP 	window1: blendMode = 'avg'
11.6262 	EXP 	window1: blendMode = 'avg'
11.6433 	EXP 	window1: blendMode = 'avg'
11.6593 	EXP 	window1: blendMode = 'avg'
11.6764 	EXP 	window1: blendMode = 'avg'
11.6935 	EXP 	window1: blendMode = 'avg'
11.7095 	EXP 	window1: blendMode = 'avg'
11.7262 	EXP 	window1: blendMode = 'avg'
11.7433 	EXP 	window1: blendMode = 'avg'
11.7592 	EXP 	window1: blendMode = 'avg'
11.7763 	EXP 	window1: blendMode = 'avg'
11.7934 	EXP 	window1: blendMode = 'avg'
11.8095 	EXP 	window1: blendMode = 'avg'
11.8266 	EXP 	window1: blendMode = 'avg'
11.8434 	EXP 	window1: blendMode = 'avg'
11.8595 	EXP 	window1: blendMode = 'avg'
11.8766 	EXP 	window1: blendMode = 'avg'
11.8931 	EXP 	window1: blendMode = 'avg'
11.9101 	EXP 	window1: blendMode = 'avg'
11.9262 	EXP 	window1: blendMode = 'avg'
11.9438 	EXP 	window1: blendMode = 'avg'
11.9602 	EXP 	window1: blendMode = 'avg'
11.9764 	EXP 	window1: blendMode = 'avg'
11.9889 	EXP 	window1: blendMode = 'avg'
12.0101 	EXP 	window1: blendMode = 'avg'
12.0260 	EXP 	window1: blendMode = 'avg'
12.0431 	EXP 	window1: blendMode = 'avg'
12.0600 	EXP 	window1: blendMode = 'avg'
12.0760 	EXP 	window1: blendMode = 'avg'
12.0930 	EXP 	window1: blendMode = 'avg'
12.1053 	EXP 	window1: blendMode = 'avg'
