13.6454 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x114783410>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.6455 	EXP 	window1: recordFrameIntervals = False
13.8106 	EXP 	window1: recordFrameIntervals = True
13.9947 	EXP 	window1: recordFrameIntervals = False
14.0991 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
14.1009 	EXP 	Created Leftimg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Leftimg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  400.]), texRes=128, units='pix', win=Window(...))
14.1022 	EXP 	Created Rightimg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Rightimg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  400.]), texRes=128, units='pix', win=Window(...))
14.1134 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'to proceed press the space bar.', units=u'norm', win=Window(...), wrapWidth=1)
14.1244 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
14.1295 	EXP 	window1: blendMode = 'avg'
14.1448 	EXP 	text_2: autoDraw = True
14.1493 	EXP 	window1: blendMode = 'avg'
14.1617 	EXP 	window1: blendMode = 'avg'
14.1791 	EXP 	window1: blendMode = 'avg'
14.1950 	EXP 	window1: blendMode = 'avg'
14.2127 	EXP 	window1: blendMode = 'avg'
14.2304 	EXP 	window1: blendMode = 'avg'
14.2465 	EXP 	window1: blendMode = 'avg'
14.2633 	EXP 	window1: blendMode = 'avg'
14.2784 	EXP 	window1: blendMode = 'avg'
14.2959 	EXP 	window1: blendMode = 'avg'
14.3124 	EXP 	window1: blendMode = 'avg'
14.3290 	EXP 	window1: blendMode = 'avg'
14.3456 	EXP 	window1: blendMode = 'avg'
14.3623 	EXP 	window1: blendMode = 'avg'
14.3786 	EXP 	window1: blendMode = 'avg'
14.3953 	EXP 	window1: blendMode = 'avg'
14.4117 	EXP 	window1: blendMode = 'avg'
14.4292 	EXP 	window1: blendMode = 'avg'
14.4460 	EXP 	window1: blendMode = 'avg'
14.4616 	EXP 	window1: blendMode = 'avg'
14.4792 	EXP 	window1: blendMode = 'avg'
14.4955 	EXP 	window1: blendMode = 'avg'
14.5116 	EXP 	window1: blendMode = 'avg'
14.5283 	EXP 	window1: blendMode = 'avg'
14.5459 	EXP 	window1: blendMode = 'avg'
14.5627 	EXP 	window1: blendMode = 'avg'
14.5791 	EXP 	window1: blendMode = 'avg'
14.5958 	EXP 	window1: blendMode = 'avg'
14.6122 	EXP 	window1: blendMode = 'avg'
14.6288 	EXP 	window1: blendMode = 'avg'
14.6446 	EXP 	window1: blendMode = 'avg'
14.6618 	EXP 	window1: blendMode = 'avg'
14.6787 	EXP 	window1: blendMode = 'avg'
14.6952 	EXP 	window1: blendMode = 'avg'
14.7130 	EXP 	window1: blendMode = 'avg'
14.7274 	EXP 	window1: blendMode = 'avg'
14.7461 	EXP 	window1: blendMode = 'avg'
14.7627 	EXP 	window1: blendMode = 'avg'
14.7791 	EXP 	window1: blendMode = 'avg'
14.7953 	EXP 	window1: blendMode = 'avg'
14.8121 	EXP 	window1: blendMode = 'avg'
14.8289 	EXP 	window1: blendMode = 'avg'
14.8453 	EXP 	window1: blendMode = 'avg'
14.8623 	EXP 	window1: blendMode = 'avg'
14.8785 	EXP 	window1: blendMode = 'avg'
14.8953 	EXP 	window1: blendMode = 'avg'
14.9121 	EXP 	window1: blendMode = 'avg'
14.9288 	EXP 	window1: blendMode = 'avg'
14.9455 	EXP 	window1: blendMode = 'avg'
14.9622 	EXP 	window1: blendMode = 'avg'
14.9787 	EXP 	window1: blendMode = 'avg'
14.9955 	EXP 	window1: blendMode = 'avg'
15.0122 	EXP 	window1: blendMode = 'avg'
