11.1243 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x113c5c410>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
11.1243 	EXP 	window1: recordFrameIntervals = False
11.2900 	EXP 	window1: recordFrameIntervals = True
11.4737 	EXP 	window1: recordFrameIntervals = False
11.5585 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
11.5601 	EXP 	Created Leftimg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Leftimg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  400.]), texRes=128, units='pix', win=Window(...))
11.5612 	EXP 	Created Rightimg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Rightimg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  400.]), texRes=128, units='pix', win=Window(...))
11.5711 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'to proceed press the space bar.', units=u'norm', win=Window(...), wrapWidth=1)
11.5804 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
11.5851 	EXP 	window1: blendMode = 'avg'
11.5892 	EXP 	text_2: autoDraw = True
11.5917 	EXP 	window1: blendMode = 'avg'
11.6070 	EXP 	window1: blendMode = 'avg'
11.6243 	EXP 	window1: blendMode = 'avg'
11.6410 	EXP 	window1: blendMode = 'avg'
11.6575 	EXP 	window1: blendMode = 'avg'
11.6746 	EXP 	window1: blendMode = 'avg'
11.6908 	EXP 	window1: blendMode = 'avg'
11.7077 	EXP 	window1: blendMode = 'avg'
11.7233 	EXP 	window1: blendMode = 'avg'
11.7411 	EXP 	window1: blendMode = 'avg'
11.7577 	EXP 	window1: blendMode = 'avg'
11.7744 	EXP 	window1: blendMode = 'avg'
11.7910 	EXP 	window1: blendMode = 'avg'
11.8078 	EXP 	window1: blendMode = 'avg'
11.8243 	EXP 	window1: blendMode = 'avg'
11.8409 	EXP 	window1: blendMode = 'avg'
11.8577 	EXP 	window1: blendMode = 'avg'
11.8742 	EXP 	window1: blendMode = 'avg'
11.8911 	EXP 	window1: blendMode = 'avg'
11.9076 	EXP 	window1: blendMode = 'avg'
11.9244 	EXP 	window1: blendMode = 'avg'
11.9410 	EXP 	window1: blendMode = 'avg'
11.9578 	EXP 	window1: blendMode = 'avg'
11.9745 	EXP 	window1: blendMode = 'avg'
11.9901 	EXP 	window1: blendMode = 'avg'
12.0078 	EXP 	window1: blendMode = 'avg'
12.0243 	EXP 	window1: blendMode = 'avg'
12.0411 	EXP 	window1: blendMode = 'avg'
12.0576 	EXP 	window1: blendMode = 'avg'
12.0745 	EXP 	window1: blendMode = 'avg'
12.0911 	EXP 	window1: blendMode = 'avg'
12.1078 	EXP 	window1: blendMode = 'avg'
12.1244 	EXP 	window1: blendMode = 'avg'
12.1410 	EXP 	window1: blendMode = 'avg'
12.1577 	EXP 	window1: blendMode = 'avg'
12.1744 	EXP 	window1: blendMode = 'avg'
12.1909 	EXP 	window1: blendMode = 'avg'
12.2077 	EXP 	window1: blendMode = 'avg'
12.2244 	EXP 	window1: blendMode = 'avg'
12.2410 	EXP 	window1: blendMode = 'avg'
12.2577 	EXP 	window1: blendMode = 'avg'
12.2744 	EXP 	window1: blendMode = 'avg'
12.2910 	EXP 	window1: blendMode = 'avg'
12.3077 	EXP 	window1: blendMode = 'avg'
12.3247 	EXP 	window1: blendMode = 'avg'
12.3408 	EXP 	window1: blendMode = 'avg'
12.3573 	DATA 	Mouse: Left button down, pos=(769,702)
12.3580 	EXP 	window1: blendMode = 'avg'
12.3740 	DATA 	Mouse:  Left button up, pos=(769,702)
12.3747 	EXP 	window1: blendMode = 'avg'
12.3905 	EXP 	window1: blendMode = 'avg'
12.4073 	EXP 	window1: blendMode = 'avg'
12.4244 	EXP 	window1: blendMode = 'avg'
12.4405 	EXP 	window1: blendMode = 'avg'
12.4576 	EXP 	window1: blendMode = 'avg'
12.4743 	EXP 	window1: blendMode = 'avg'
12.4911 	EXP 	window1: blendMode = 'avg'
12.5077 	EXP 	window1: blendMode = 'avg'
12.5243 	EXP 	window1: blendMode = 'avg'
12.5411 	EXP 	window1: blendMode = 'avg'
12.5578 	EXP 	window1: blendMode = 'avg'
12.5741 	EXP 	window1: blendMode = 'avg'
12.5912 	EXP 	window1: blendMode = 'avg'
12.6077 	EXP 	window1: blendMode = 'avg'
12.6243 	EXP 	window1: blendMode = 'avg'
12.6412 	EXP 	window1: blendMode = 'avg'
12.6576 	EXP 	window1: blendMode = 'avg'
