7.6304 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1136e0410>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.6305 	EXP 	window1: recordFrameIntervals = False
7.7967 	EXP 	window1: recordFrameIntervals = True
7.9804 	EXP 	window1: recordFrameIntervals = False
8.0651 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
8.0667 	EXP 	Created Leftimg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Leftimg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  400.]), texRes=128, units='pix', win=Window(...))
8.0678 	EXP 	Created Rightimg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Rightimg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  400.]), texRes=128, units='pix', win=Window(...))
8.0777 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'to proceed press the space bar.', units=u'norm', win=Window(...), wrapWidth=1)
8.0871 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
8.0916 	EXP 	window1: blendMode = 'avg'
8.0962 	EXP 	text_2: autoDraw = True
8.0992 	EXP 	window1: blendMode = 'avg'
8.1144 	EXP 	window1: blendMode = 'avg'
8.1305 	EXP 	window1: blendMode = 'avg'
8.1479 	EXP 	window1: blendMode = 'avg'
8.1645 	EXP 	window1: blendMode = 'avg'
8.1810 	EXP 	window1: blendMode = 'avg'
8.1972 	EXP 	window1: blendMode = 'avg'
8.2144 	EXP 	window1: blendMode = 'avg'
8.2302 	EXP 	window1: blendMode = 'avg'
8.2473 	EXP 	window1: blendMode = 'avg'
8.2645 	EXP 	window1: blendMode = 'avg'
8.2805 	EXP 	window1: blendMode = 'avg'
8.2979 	EXP 	window1: blendMode = 'avg'
8.3144 	EXP 	window1: blendMode = 'avg'
8.3309 	EXP 	window1: blendMode = 'avg'
8.3477 	EXP 	window1: blendMode = 'avg'
8.3640 	EXP 	window1: blendMode = 'avg'
8.3810 	EXP 	window1: blendMode = 'avg'
8.3972 	EXP 	window1: blendMode = 'avg'
8.4143 	EXP 	window1: blendMode = 'avg'
8.4304 	EXP 	window1: blendMode = 'avg'
8.4477 	EXP 	window1: blendMode = 'avg'
8.4686 	EXP 	window1: blendMode = 'avg'
8.4853 	EXP 	window1: blendMode = 'avg'
8.5020 	EXP 	window1: blendMode = 'avg'
8.5187 	EXP 	window1: blendMode = 'avg'
8.5354 	EXP 	window1: blendMode = 'avg'
8.5521 	EXP 	window1: blendMode = 'avg'
8.5688 	EXP 	window1: blendMode = 'avg'
8.5855 	EXP 	window1: blendMode = 'avg'
8.6023 	EXP 	window1: blendMode = 'avg'
8.6190 	EXP 	window1: blendMode = 'avg'
8.6357 	EXP 	window1: blendMode = 'avg'
8.6524 	EXP 	window1: blendMode = 'avg'
8.6692 	EXP 	window1: blendMode = 'avg'
8.6856 	EXP 	window1: blendMode = 'avg'
8.7025 	EXP 	window1: blendMode = 'avg'
8.7191 	EXP 	window1: blendMode = 'avg'
8.7358 	EXP 	window1: blendMode = 'avg'
8.7524 	EXP 	window1: blendMode = 'avg'
8.7691 	EXP 	window1: blendMode = 'avg'
8.7858 	EXP 	window1: blendMode = 'avg'
8.8025 	EXP 	window1: blendMode = 'avg'
8.8191 	EXP 	window1: blendMode = 'avg'
8.8358 	EXP 	window1: blendMode = 'avg'
8.8525 	EXP 	window1: blendMode = 'avg'
8.8691 	EXP 	window1: blendMode = 'avg'
8.8858 	EXP 	window1: blendMode = 'avg'
8.9025 	EXP 	window1: blendMode = 'avg'
8.9191 	EXP 	window1: blendMode = 'avg'
8.9358 	EXP 	window1: blendMode = 'avg'
8.9524 	EXP 	window1: blendMode = 'avg'
8.9691 	EXP 	window1: blendMode = 'avg'
8.9858 	EXP 	window1: blendMode = 'avg'
9.0024 	EXP 	window1: blendMode = 'avg'
9.0191 	EXP 	window1: blendMode = 'avg'
9.0358 	EXP 	window1: blendMode = 'avg'
9.0524 	EXP 	window1: blendMode = 'avg'
9.0691 	EXP 	window1: blendMode = 'avg'
9.0813 	EXP 	window1: blendMode = 'avg'
9.1022 	EXP 	window1: blendMode = 'avg'
9.1191 	EXP 	window1: blendMode = 'avg'
9.1358 	EXP 	window1: blendMode = 'avg'
9.1525 	EXP 	window1: blendMode = 'avg'
9.1691 	EXP 	window1: blendMode = 'avg'
9.1857 	EXP 	window1: blendMode = 'avg'
9.2025 	EXP 	window1: blendMode = 'avg'
9.2191 	EXP 	window1: blendMode = 'avg'
9.2358 	EXP 	window1: blendMode = 'avg'
9.2524 	EXP 	window1: blendMode = 'avg'
9.2660 	EXP 	window1: blendMode = 'avg'
9.2823 	EXP 	window1: blendMode = 'avg'
9.2993 	EXP 	window1: blendMode = 'avg'
9.3157 	EXP 	window1: blendMode = 'avg'
9.3323 	EXP 	window1: blendMode = 'avg'
9.3490 	EXP 	window1: blendMode = 'avg'
9.3657 	EXP 	window1: blendMode = 'avg'
9.3826 	EXP 	window1: blendMode = 'avg'
9.3990 	EXP 	window1: blendMode = 'avg'
9.4157 	EXP 	window1: blendMode = 'avg'
9.4322 	EXP 	window1: blendMode = 'avg'
9.4491 	EXP 	window1: blendMode = 'avg'
9.4651 	EXP 	window1: blendMode = 'avg'
9.4824 	EXP 	window1: blendMode = 'avg'
9.4991 	EXP 	window1: blendMode = 'avg'
9.5157 	EXP 	window1: blendMode = 'avg'
9.5324 	EXP 	window1: blendMode = 'avg'
9.5490 	EXP 	window1: blendMode = 'avg'
9.5656 	EXP 	window1: blendMode = 'avg'
9.5824 	EXP 	window1: blendMode = 'avg'
9.5987 	EXP 	window1: blendMode = 'avg'
9.6159 	EXP 	window1: blendMode = 'avg'
9.6324 	EXP 	window1: blendMode = 'avg'
9.6490 	EXP 	window1: blendMode = 'avg'
9.6655 	EXP 	window1: blendMode = 'avg'
9.6824 	EXP 	window1: blendMode = 'avg'
9.6991 	EXP 	window1: blendMode = 'avg'
9.7157 	EXP 	window1: blendMode = 'avg'
9.7322 	EXP 	window1: blendMode = 'avg'
9.7490 	EXP 	window1: blendMode = 'avg'
9.7657 	EXP 	window1: blendMode = 'avg'
9.7824 	EXP 	window1: blendMode = 'avg'
9.7989 	EXP 	window1: blendMode = 'avg'
9.8155 	EXP 	window1: blendMode = 'avg'
9.8320 	EXP 	window1: blendMode = 'avg'
9.8491 	EXP 	window1: blendMode = 'avg'
9.8657 	EXP 	window1: blendMode = 'avg'
9.8823 	EXP 	window1: blendMode = 'avg'
9.8991 	EXP 	window1: blendMode = 'avg'
9.9157 	EXP 	window1: blendMode = 'avg'
9.9321 	EXP 	window1: blendMode = 'avg'
9.9495 	EXP 	window1: blendMode = 'avg'
9.9658 	EXP 	window1: blendMode = 'avg'
9.9823 	EXP 	window1: blendMode = 'avg'
9.9991 	EXP 	window1: blendMode = 'avg'
10.0157 	EXP 	window1: blendMode = 'avg'
10.0324 	EXP 	window1: blendMode = 'avg'
10.0490 	EXP 	window1: blendMode = 'avg'
10.0655 	EXP 	window1: blendMode = 'avg'
10.0824 	EXP 	window1: blendMode = 'avg'
10.0990 	EXP 	window1: blendMode = 'avg'
10.1157 	EXP 	window1: blendMode = 'avg'
10.1322 	EXP 	window1: blendMode = 'avg'
10.1491 	EXP 	window1: blendMode = 'avg'
10.1657 	EXP 	window1: blendMode = 'avg'
10.1823 	EXP 	window1: blendMode = 'avg'
10.1988 	EXP 	window1: blendMode = 'avg'
10.2157 	EXP 	window1: blendMode = 'avg'
10.2324 	EXP 	window1: blendMode = 'avg'
10.2490 	EXP 	window1: blendMode = 'avg'
10.2657 	EXP 	window1: blendMode = 'avg'
10.2823 	EXP 	window1: blendMode = 'avg'
10.2989 	EXP 	window1: blendMode = 'avg'
10.3157 	EXP 	window1: blendMode = 'avg'
10.3324 	EXP 	window1: blendMode = 'avg'
10.3490 	EXP 	window1: blendMode = 'avg'
10.3656 	EXP 	window1: blendMode = 'avg'
10.3824 	EXP 	window1: blendMode = 'avg'
10.3990 	EXP 	window1: blendMode = 'avg'
10.4157 	EXP 	window1: blendMode = 'avg'
10.4323 	EXP 	window1: blendMode = 'avg'
10.4490 	EXP 	window1: blendMode = 'avg'
10.4657 	EXP 	window1: blendMode = 'avg'
10.4824 	EXP 	window1: blendMode = 'avg'
10.4989 	EXP 	window1: blendMode = 'avg'
10.5157 	EXP 	window1: blendMode = 'avg'
10.5321 	EXP 	window1: blendMode = 'avg'
10.5493 	EXP 	window1: blendMode = 'avg'
10.5657 	EXP 	window1: blendMode = 'avg'
10.5823 	EXP 	window1: blendMode = 'avg'
10.5989 	EXP 	window1: blendMode = 'avg'
10.6158 	EXP 	window1: blendMode = 'avg'
10.6324 	EXP 	window1: blendMode = 'avg'
10.6490 	EXP 	window1: blendMode = 'avg'
10.6657 	EXP 	window1: blendMode = 'avg'
10.6823 	EXP 	window1: blendMode = 'avg'
10.6990 	EXP 	window1: blendMode = 'avg'
10.7157 	EXP 	window1: blendMode = 'avg'
10.7321 	EXP 	window1: blendMode = 'avg'
10.7490 	EXP 	window1: blendMode = 'avg'
10.7657 	EXP 	window1: blendMode = 'avg'
10.7823 	EXP 	window1: blendMode = 'avg'
10.7988 	EXP 	window1: blendMode = 'avg'
10.8148 	EXP 	window1: blendMode = 'avg'
10.8315 	EXP 	window1: blendMode = 'avg'
10.8482 	EXP 	window1: blendMode = 'avg'
10.8654 	EXP 	window1: blendMode = 'avg'
10.8825 	EXP 	window1: blendMode = 'avg'
10.8984 	EXP 	window1: blendMode = 'avg'
10.9159 	EXP 	window1: blendMode = 'avg'
10.9326 	EXP 	window1: blendMode = 'avg'
10.9490 	EXP 	window1: blendMode = 'avg'
10.9657 	EXP 	window1: blendMode = 'avg'
10.9823 	EXP 	window1: blendMode = 'avg'
10.9981 	EXP 	window1: blendMode = 'avg'
11.0157 	EXP 	window1: blendMode = 'avg'
11.0324 	EXP 	window1: blendMode = 'avg'
11.0490 	EXP 	window1: blendMode = 'avg'
11.0657 	EXP 	window1: blendMode = 'avg'
11.0824 	EXP 	window1: blendMode = 'avg'
11.0990 	EXP 	window1: blendMode = 'avg'
11.1156 	EXP 	window1: blendMode = 'avg'
11.1321 	EXP 	window1: blendMode = 'avg'
11.1490 	EXP 	window1: blendMode = 'avg'
11.1657 	EXP 	window1: blendMode = 'avg'
11.1823 	EXP 	window1: blendMode = 'avg'
11.1991 	EXP 	window1: blendMode = 'avg'
11.2157 	EXP 	window1: blendMode = 'avg'
11.2322 	EXP 	window1: blendMode = 'avg'
11.2491 	EXP 	window1: blendMode = 'avg'
11.2657 	EXP 	window1: blendMode = 'avg'
11.2817 	EXP 	window1: blendMode = 'avg'
11.2993 	EXP 	window1: blendMode = 'avg'
11.3156 	EXP 	window1: blendMode = 'avg'
11.3317 	EXP 	window1: blendMode = 'avg'
11.3492 	EXP 	window1: blendMode = 'avg'
11.3657 	EXP 	window1: blendMode = 'avg'
11.3823 	EXP 	window1: blendMode = 'avg'
11.3989 	EXP 	window1: blendMode = 'avg'
11.4156 	EXP 	window1: blendMode = 'avg'
11.4320 	EXP 	window1: blendMode = 'avg'
11.4492 	EXP 	window1: blendMode = 'avg'
11.4657 	EXP 	window1: blendMode = 'avg'
11.4824 	EXP 	window1: blendMode = 'avg'
11.4988 	EXP 	window1: blendMode = 'avg'
11.5157 	EXP 	window1: blendMode = 'avg'
11.5324 	EXP 	window1: blendMode = 'avg'
11.5490 	EXP 	window1: blendMode = 'avg'
11.5655 	EXP 	window1: blendMode = 'avg'
11.5819 	EXP 	window1: blendMode = 'avg'
11.5988 	EXP 	window1: blendMode = 'avg'
11.6152 	EXP 	window1: blendMode = 'avg'
11.6320 	EXP 	window1: blendMode = 'avg'
11.6485 	EXP 	window1: blendMode = 'avg'
11.6660 	EXP 	window1: blendMode = 'avg'
11.6823 	EXP 	window1: blendMode = 'avg'
11.6990 	EXP 	window1: blendMode = 'avg'
11.7156 	EXP 	window1: blendMode = 'avg'
11.7325 	EXP 	window1: blendMode = 'avg'
11.7490 	EXP 	window1: blendMode = 'avg'
11.7655 	EXP 	window1: blendMode = 'avg'
11.7820 	EXP 	window1: blendMode = 'avg'
11.7992 	EXP 	window1: blendMode = 'avg'
11.8156 	EXP 	window1: blendMode = 'avg'
11.8318 	EXP 	window1: blendMode = 'avg'
11.8492 	EXP 	window1: blendMode = 'avg'
11.8657 	EXP 	window1: blendMode = 'avg'
11.8823 	EXP 	window1: blendMode = 'avg'
11.8990 	EXP 	window1: blendMode = 'avg'
11.9157 	EXP 	window1: blendMode = 'avg'
11.9322 	EXP 	window1: blendMode = 'avg'
11.9490 	EXP 	window1: blendMode = 'avg'
11.9658 	EXP 	window1: blendMode = 'avg'
11.9821 	EXP 	window1: blendMode = 'avg'
11.9990 	EXP 	window1: blendMode = 'avg'
12.0157 	EXP 	window1: blendMode = 'avg'
12.0324 	EXP 	window1: blendMode = 'avg'
12.0496 	EXP 	window1: blendMode = 'avg'
12.0658 	EXP 	window1: blendMode = 'avg'
12.0824 	EXP 	window1: blendMode = 'avg'
12.0990 	EXP 	window1: blendMode = 'avg'
12.1156 	EXP 	window1: blendMode = 'avg'
12.1324 	EXP 	window1: blendMode = 'avg'
12.1489 	EXP 	window1: blendMode = 'avg'
12.1657 	EXP 	window1: blendMode = 'avg'
12.1823 	EXP 	window1: blendMode = 'avg'
